
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    5428 Console                   19     20,484 K
chrome.exe                    7992 Console                   19     67,988 K
chrome.exe                    1364 Console                   19   1,54,144 K
chrome.exe                   21208 Console                   19     52,232 K
chrome.exe                    5456 Console                   19   1,04,568 K
chrome.exe                   18440 Console                   19   3,14,016 K
chrome.exe                   23656 Console                   19   2,06,724 K
chrome.exe                   22676 Console                   19     21,084 K
chrome.exe                   16996 Console                   19     67,844 K
audiodg.exe                  12140 Services                   0     21,464 K
WmiPrvSE.exe                  5976 Services                   0     16,220 K
svchost.exe                  24660 Services                   0     11,124 K
svchost.exe                  11684 Services                   0      9,308 K
svchost.exe                  24604 Services                   0     10,336 K
chrome.exe                   13088 Console                   19   4,08,568 K
chrome.exe                   15976 Console                   19     31,012 K
chrome.exe                   24900 Console                   19     39,960 K
tasklist.exe                 23856 Console                   19     12,368 K
